title,revenue_worldwide,revenue_domestic,domestic_pct,revenue_foreign,foreign_pct,release_year,rank,title_key
PokÃ©mon the Movie: The Power of Us,23740788.0,789170.0,3.3000000000000003,22951618.0,96.7,2018,191.0,pokã©mon the movie: the power of us
The Guernsey Literary and Potato Peel Pie Society,23148937.0,0.0,0.0,23148937.0,100.0,2018,192.0,the guernsey literary and potato peel pie society
The Crimes That Bind,23144130.0,0.0,0.0,23144130.0,100.0,2018,193.0,the crimes that bind
New Happy Dad and Son 3: Adventure in Russia,23130469.0,0.0,0.0,23130469.0,100.0,2018,194.0,new happy dad and son 3: adventure in russia
Padmaavat,22991060.0,11846060.0,51.5,11145000.0,48.5,2018,195.0,padmaavat
Won't You Be My Neighbor?,22844741.0,22835787.0,100.0,8954.0,0.0,2018,196.0,won't you be my neighbor?
Europe Raiders,22435156.0,0.0,0.0,22435156.0,100.0,2018,197.0,europe raiders
Mojin: The Worm Valley,22381583.0,101516.0,0.5,22280067.0,99.5,2018,198.0,mojin: the worm valley
Stree,22075730.0,0.0,0.0,22075730.0,100.0,2018,199.0,stree
Avengers: Endgame,2799439100.0,858373000.0,30.7,1941066100.0,69.3,2019,0.0,avengers: endgame
The Lion King,1656943394.0,543638043.0,32.8,1113305351.0,67.2,2019,1.0,the lion king
Frozen II,1450026933.0,477373578.0,32.9,972653355.0,67.1,2019,2.0,frozen ii
Spider0Man: Far from Home,1131927996.0,390532085.0,34.5,741395911.0,65.5,2019,3.0,spider0man: far from home
Captain Marvel,1128274794.0,426829839.0,37.8,701444955.0,62.2,2019,4.0,captain marvel
Joker,1078751311.0,335451311.0,31.1,743300000.0,68.9,2019,5.0,joker
Star Wars: Episode IX 0 The Rise of Skywalker,1074144248.0,515202542.0,48.0,558941706.0,52.0,2019,6.0,star wars: episode ix 0 the rise of skywalker
Toy Story 4,1073394593.0,434038008.0,40.4,639356585.0,59.599999999999994,2019,7.0,toy story 4
Aladdin,1050693953.0,355559216.0,33.8,695134737.0,66.2,2019,8.0,aladdin
Jumanji: The Next Level,801693929.0,320314960.0,40.0,481378969.0,60.0,2019,9.0,jumanji: the next level
Fast & Furious Presents: Hobbs & Shaw,760732926.0,173956935.0,22.9,586775991.0,77.1,2019,10.0,fast & furious presents: hobbs & shaw
